Sum of students_enrolled_courser,Column Labels,,,,
Row Labels,Advanced,Beginner,Intermediate,Mixed,Grand Total
Preparing to Manage Human Resources,,,,68000,68000
Songwriting: Writing the Lyrics,,68000,,,68000
Probabilistic Graphical Models 1: Representation,68000,,,,68000
UI / UX Design,,68000,,,68000
Trading Strategies in Emerging Markets,,68000,,,68000
Strategic Management and Innovation,,68000,,,68000
Learning to Teach Online,,68000,,,68000
Essential Google Cloud Infrastructure: Core Services,,,68000,,68000
Искусство разработки на современном C++,,,68000,,68000
Blockchain,,,68000,,68000
Power Electronics,,,67000,,67000
Introduction to Systematic Review and Meta-Analysis,,,,67000,67000
Business Technology Management,,67000,,,67000
Design and Interpretation of Clinical Trials,,,,67000,67000
Building Your Leadership Skills,,,,67000,67000
Математика и Python для анализа данных,,67000,,,67000
Supply Chain Logistics,,66000,,,66000
Interviewing and Resume Writing in English,,,66000,,66000
Data Visualization with Python,,,66000,,66000
Conflict Management,,66000,,,66000
Astrobiology and the Search for Extraterrestrial Life,,,,66000,66000
Financial Accounting Fundamentals,,65000,,,65000
Foundations of Management,,64000,,,64000
Value Chain Management,,,63000,,63000
Foundations of Business Strategy,,63000,,,63000
Antimicrobial resistance - theory and methods,,,63000,,63000
System Administration and IT Infrastructure Services,,62000,,,62000
"TESOL Certificate, Part 2: Teach English Now!",,62000,,,62000
Gut Check: Exploring Your Microbiome,,,,62000,62000
Hacia una práctica constructivista en el aula,,,,62000,62000
IT Security: Defense against the digital dark arts,,62000,,,62000
Foundations of Everyday Leadership,,,,62000,62000
Sharpened Visions: A Poetry Workshop,,61000,,,61000
Becoming a changemaker: Introduction to Social Innovation,,61000,,,61000
AI Foundations for Everyone,,61000,,,61000
Construction Management,,61000,,,61000
Software Processes and Agile Practices,,,,60000,60000
Software Design and Architecture,,60000,,,60000
Marketing con Redes Sociales,,,60000,,60000
Strategic Business Analytics,60000,,,,60000
Introduction to Ableton Live,,,,60000,60000
Financial Markets and Investment Strategy,,60000,,,60000
Data Visualization with Advanced Excel,,60000,,,60000
The Science of Success: What Researchers Know that You Should Know,,59000,,,59000
Municipal Solid Waste Management in Developing Countries,,,59000,,59000
Getting Started with Go,,,59000,,59000
Getting Started With Music Theory,,59000,,,59000
Marketing Verde,,,,58000,58000
Strategic Management,,,,58000,58000
Machine Learning for Business Professionals,,,58000,,58000
Digital Product Management: Modern Fundamentals,,58000,,,58000
Marketing Strategy,,57000,,,57000
Oil & Gas Industry Operations and Markets,,,,57000,57000
Food & Beverage Management,,,,57000,57000
"Brand Management: Aligning Business, Brand and Behaviour",,57000,,,57000
Digital Media and Marketing Strategies,,,,57000,57000
Elastic Google Cloud Infrastructure: Scaling and Automation,,,57000,,57000
Cisco Networking Basics,,57000,,,57000
Excel/VBA for Creative Problem Solving,,56000,,,56000
Greening the Economy: Sustainable Cities,,56000,,,56000
Fundamentos Estratégicos Empresariales,,56000,,,56000
Corporate Finance Essentials,,,,56000,56000
Autism Spectrum Disorder,,,,56000,56000
Managerial Economics and Business Analysis,,55000,,,55000
Behavioral Finance,,,,55000,55000
Cómo hablar bien en público,,55000,,,55000
Essentials of Corporate Finance,,,54000,,54000
Introduction to Imagemaking,,54000,,,54000
"Excel/VBA for Creative Problem Solving, Part 1",,54000,,,54000
Devenir entrepreneur du changement,,,,54000,54000
